EBSversion|CertifiedProduct|OS|CertificationStatus|SupportInformation
12.2.10|Oracle Internet Directory 12.2.1.4.0|HP-UX Itanium 11.31|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|IBM AIX on POWER Systems (64-bit) 7.2|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|IBM AIX on POWER Systems (64-bit) 7.1|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Linux x86-64 SLES 15|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Linux x86-64 SLES 12|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Linux x86-64 SLES 11|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Linux x86-64 Red Hat Enterprise Linux 8|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Linux x86-64 Red Hat Enterprise Linux 7|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Linux x86-64 Red Hat Enterprise Linux 6|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Linux x86-64 Oracle Linux 8.x|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Linux x86-64 Oracle Linux 7|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Linux x86-64 Oracle Linux 6|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Microsoft Windows x64 (64-bit) 2019|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Microsoft Windows x64 (64-bit) 2016|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Microsoft Windows x64 (64-bit) 2012 R2|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Microsoft Windows x64 (64-bit) 2012|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Oracle Solaris on SPARC (64-bit) 11|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.4.0|Oracle Solaris on x86-64 (64-bit) 11|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|HP-UX Itanium 11.31|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|IBM AIX on POWER Systems (64-bit) 7.2|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|IBM AIX on POWER Systems (64-bit) 7.1|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Linux x86-64 SLES 15|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Linux x86-64 SLES 12|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Linux x86-64 SLES 11|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Linux x86-64 Red Hat Enterprise Linux 7|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Linux x86-64 Red Hat Enterprise Linux 6|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Linux x86-64 Oracle Linux 7|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Linux x86-64 Oracle Linux 6|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Microsoft Windows x64 (64-bit) 2019|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Microsoft Windows x64 (64-bit) 2016|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Microsoft Windows x64 (64-bit) 2012 R2|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Microsoft Windows x64 (64-bit) 2012|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Oracle Solaris on SPARC (64-bit) 11|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 12.2.1.3.0|Oracle Solaris on x86-64 (64-bit) 11|CertifiedCertified|<b>Premier Support</b> (2+ years remaining)
12.2.10|Oracle Internet Directory 11.1.1.9.0|HP-UX Itanium 11.31|CertifiedCertified|<b>Extended Support</b> (3+ months remaining)
12.2.10|Oracle Internet Directory 11.1.1.9.0|IBM AIX on POWER Systems (64-bit) 7.2|CertifiedCertified|<b>Extended Support</b> (3+ months remaining)
12.2.10|Oracle Internet Directory 11.1.1.9.0|IBM AIX on POWER Systems (64-bit) 7.1|CertifiedCertified|<b>Extended Support</b> (3+ months remaining)
